external_video_id,estimated_view_count,date,title,players,decade,agg_view_count,video_ids,video_titles,video_counts,num_videos,id,annotation
u7oHlAJ7Bi0,115318,19881116,"Michael Jordan (52pts, 24/29 FG) vs. Charles Barkley (42pts, 18/25 FG) (1988)","Charles Barkley,Michael Jordan",1980,310171,we7Opf6EJ8E|avgYapDEogk|PWVLuG9kL2E|t2ALaosUmk8|T2E1-iUZxh0,"Michael Jordan 52pts (FG 82.8%)|Charles Barkley 42pts, 11o.reb (1988.11.16)|Michael Jordan vs Charles Barkley LEGENDS Duel 1988.11.16 -Barkley With 42 Pts, MJ With 52!|Michael Jordan 52 pts vs. 76ers - 1988|Michael Jordan 52pts vs Charles Barkley 42/16 - Showdown In Philly ! (November 16, 1988)",66835|48224|43023|19616|17155,5,19881116-Charles Barkley
VO23vpjBHYc,306077,19860218,5 Times NBA Players Have Recorded A Quadruple Double,"Russell Westbrook,Nate Thurmond,David Robinson,Hakeem Olajuwon",1980,306077,,,,0,19860218-Russell Westbrook
OGIBqZkg0GY,239354,19860404,Julius Erving crushes the Celtics after a rare Larry Bird choke at the free throw line,"Larry Bird,Julius Erving",1980,239354,,,,0,19860404-Larry Bird
beR74GOQPL4,124064,19841029,MICHAEL JORDAN: His third NBA game (37pts vs Bucks - 1984.10.29),Michael Jordan,1980,216758,Vkjye9Sj6uY|uNCptfhIrVA|gmVIPwMYZMs,Michael Jordan's 3rd NBA Game - 37 Points (22 Pts in 4th Qtr) & Sick Game Winning Plays - 1984|Michael Jordan Scores 37 Points vs. Milwaukee Bucks|Michael Jordan's 3rd NBA Game : 22 Points in the 4th Quarter & Sick Game Winning Plays!,42182|31217|19295,3,19841029-Michael Jordan
YQKUaZBHCOo,206590,19830122,Michael Jordan 32 pts vs. Duke - 1983,Michael Jordan,1980,206590,,,,0,19830122-Michael Jordan
60XIzix3PlE,133799,19890321,Bulls @ Lakers - March 1989. PG Jordan 16 assists,Michael Jordan,1980,194322,UTh-rgYnQWI,"Michael Jordan vs Magic Johnson - Point Guard Duel (March 21, 1989) MJ Checks Magic In Clutch !",60523,1,19890321-Michael Jordan
_hZauN4m9d0,120626,19861210,"Dominique Wilkins VS Michael Jordan | 'Nique 57 Points, MJ 41 | 12.10.86","Dominique Wilkins,Michael Jordan",1980,181022,ca3SKcmGE4E,Michael Jordan's Classic Jam On Tree Rollins,60396,1,19861210-Dominique Wilkins
wWV8N8QHYlg,149215,19890216,Michael Jordan's 39-Point Second Half vs the Bucks on 2/16/1989,Michael Jordan,1980,175788,0tBEDyO8ExY,Michael Jordan 50 pts vs. Bucks - MJ Game-winner - 1989,26573,1,19890216-Michael Jordan
-VlM1h5vwyY,160278,19860427,Tree Bites Man/Debut of Busty Heart,"Tree Rollins,Danny Ainge",1980,160278,,,,0,19860427-Tree Rollins
VPuJl6bStrY,138101,19841113,"Michael Jordan (Rookie, Age 21): 45 Pts, 18/27 (67%) FG Vs. San Antonio Spurs (Nov. 13, 1984) (720p)",Michael Jordan,1980,159733,4CIiiewcgJg,Throwback Sports - 11.13.1984 - San Antonio Spurs @ Chicago Bulls,21632,1,19841113-Michael Jordan
