external_video_id,estimated_view_count,date,duration,categories,decade
Dr2z6Hb8RAI,1245894,20160203,94,,2010
we0myBZ6kv0,1242394,20011229,9185,,2000
fZYCBTM04mg,1238191,20160616,90,pass|fight,2010
VEcqGZ9hNx4,1232950,20120401,31,dunk,2010
bJH8O3Zzl-s,1231038,20140730,235,move,2010
V2GJ2PwXQ4E,1209303,20140502,76,shot,2010
wNH6dIRnXy4,1198902,20040126,351,,2000
XNmDcLwM4IQ,1190388,20090204,23,,2000
uYXkOBJRFHU,1161137,20110220,104,shot,2010
9WRsQy248VQ,1153529,20091204,43,,2000
RzAoxWEj8kY,1152225,20081207,106,shot,2000
zL1hk8WbBNk,1152020,20161225,387,pass,2010
PzGolkfK2Ak,1146848,20130104,44,dunk,2010
kH0-QR9IzM4,1138990,20120212,59,fight,2010
l8O55LcVxf4,1136204,20091225,394,fight,2000
-osb6ztv94k,1130195,20150805,77,dunk,2010
8QJ4iwqnLKc,1123482,20040524,182,block,2000
NlTIFCPxqgw,1098954,20120419,25,fight,2010
VolROn1613o,1096768,20101029,45,move,2010
8UUBC8NoQgA,1091180,20080618,194,fight,2000
fnBkMz-kpsg,1090809,20080109,23,dunk,2000
FiZJQn6XUzY,1089543,20111004,55,fight,2010
ey2c-srSVLg,1089433,20141130,85,shot,2010
Hcy_x5IKgEo,1083932,19950328,657,pass|shot|dunk|block|move,1990
i7cVBlxc8OA,1072849,20141031,47,shot,2010
lNPDAEpuS8U,1067695,20141006,295,,2010
yh8dDEznDO8,1063554,20120325,49,,2010
ZM9rLi0Eil8,1063422,20130810,142,,2010
sDtyhv4TFXQ,1063284,20140108,49,pass|dunk,2010
EeBtsQ-e3ko,1050847,20080224,26,shot|pass|fight|dunk|move,2000
CTqglL0SN8k,1050114,20061215,547,pass|block,2000
Nfe3ksY0iSk,1044068,20161107,247,,2010
8lqi4rd6y38,1036166,19921102,349,,1990
SUSbxZ3AXUo,1031116,20090119,99,,2000
CvyelLWnDMo,1027816,20110320,24,dunk,2010
hIvgFMjeaGk,1025500,20120211,573,,2010
DxaZ4ebAi08,1022157,20011229,859,,2000
2_LUnTQHV4c,1011290,20110708,114,,2010
hwIWAgr0cuc,1011239,20120419,32,fight,2010
M6eDZfKgStM,1006834,20161205,548,shot,2010
sLF4x9Esedk,997273,20100903,31,,2010
NM-gBWaEkqM,986471,20081120,66,pass,2000
A46T6XdK3UE,980252,20160210,50,,2010
krxcI-V0j1k,976460,20160105,169,,2010
piij1QpvM3U,972044,20140311,64,shot|injury,2010
5Nizh6pjQgk,969261,20100724,181,,2010
NHdI1QIp_O4,968944,20120720,128,fight,2010
6COcL1KaIUA,967261,20091228,138,move,2000
T7khmJ3rims,966687,20101208,31,fight,2010
QAjRWh-ZMcA,966236,19880410,331,dunk|pass|block|shot,1980
DQP-InsGXcA,965703,20110301,17,,2010
7cIcf--9zEw,964364,20160122,433,shot|pass,2010
Osxe1GW8AKw,963526,20161217,36,pass|move,2010
3fD1MNjkPFs,963173,20090522,53,shot,2000
ZyNqx72C0eE,960045,20090306,146,block|shot,2000
H_kyibFAJy8,959198,20150301,77,fight,2010
paGS1FUl02I,953239,20080406,25,,2000
p7b5wHb6htM,945343,20131218,51,,2010
1Kl0Z-6HLlw,944292,20031007,359,pass|shot,2000
oxRwErl-mgc,941677,20030328,1161,,2000
7mr3P2JMcd8,941602,20120204,749,,2010
KoRCSwaRHkg,940735,20130510,83,fight,2010
4Kd9rC3JdvE,935683,20150421,72,,2010
45czWPhWQOI,933555,20100619,119,shot,2010
Tzp7J1de8vg,926936,20121120,62,,2010
9LN88bqoIMo,922848,20161103,476,,2010
cSvtCkCvyUI,916860,20151104,105,,2010
MKXW1gN7cvg,916496,20160623,NaN,block|shot,2010
TPK0pDqbbtQ,915788,20110405,30,pass,2010
XekYUO-Z7ag,907612,19960115,26,pass,1990
-lFIkE4_Wow,907331,20140113,70,,2010
icXypygs4dY,895974,20140224,146,move,2010
5CWQEUle8KU,895783,20111216,156,,2010
ZBabYB1VVBU,891437,20110309,22,,2010
j_f5kM6GCkQ,886957,20150609,169,,2010
3mJx4FM5_zU,883078,20160619,83,pass,2010
TeOMHDZCbmQ,879698,20151207,469,,2010
ppYxnV2o0Ug,875722,20041119,254,fight,2000
xwx9HiM4Aw0,873680,20101120,49,dunk,2010
DAChOZebcRA,870645,20110116,81,fight,2010
wRMXtEHDVDE,866207,20170228,133,,2010
fLk0dE8Z9U8,865836,20120214,562,pass|shot,2010
_6_8F1dOa7g,860708,20110401,2508,,2010
jwgV1tT9rqQ,860194,20141006,330,pass,2010
p_nKbCBkxCM,852751,19971103,1165,shot,1990
rDcHUyYhRHM,851239,20120621,450,,2010
1K1In6gkLzg,838573,20110317,31,dunk|block,2010
Zmz0qQp4OmI,829729,20110411,30,dunk,2010
UTbOo-KLKSk,821962,20080320,449,shot|dunk|pass|move|fight|injury,2000
quuQPaU5OhY,821114,20070830,35,move,2000
PDmdRw8nROM,819068,20090325,261,,2000
RO2etN-OHtQ,816477,20100617,543,,2010
GfYXkSAW1LM,816195,20150301,39,,2010
trJ8UI5e_iY,814759,20110723,20,,2010
rQK0VJSHE5k,810739,20170202,396,pass,2010
RZjBzLVVmzk,798627,19980322,915,dunk|move,1990
zmtJzxfGAzw,798390,20140117,231,,2010
l-NDZGtU7So,793888,19970115,30,fight,1990
2GvuEzhfLX4,785578,19940501,54,dunk|fight,1990
ycTlIyQ2MHg,785557,20140311,297,,2010
_PfmkmeySeM,780406,20120219,680,pass,2010
7oqSokjncZ0,776739,20140212,157,shot|move,2010
lTeZ6elLcow,766244,20121204,22,shot,2010
BoQ7phncg7o,764250,20151119,504,pass,2010
gD4CLCwH0uA,761572,20100413,55,,2010
7L0Y595Ful0,755882,20120415,290,,2010
oOXtDQBwvyU,753316,20101113,39,move,2010
99NvxgGWPCA,751021,20150224,20,,2010
n0xJM1Z7kos,746633,20101229,141,shot,2010
je08Dc6FfYk,744252,20110227,25,,2010
Mm-UHAWPpxo,743953,20120206,643,,2010
bNb8kqmxO7I,743109,20130130,65,,2010
pLLHsr9Aluo,738367,20090106,189,shot,2000
xC_--s6M3QI,736921,20150301,223,pass|block|move|injury,2010
2h60uviwKC0,732416,20110224,82,shot,2010
2ycvpbVqSCI,730901,20100602,62,,2010
CUVaZLyshJQ,729591,19880314,310,,1980
Avcsu9r4pq4,728650,20110501,122,fight,2010
zuZqcF7-R_0,727384,20120125,52,,2010
UaVAL3DBauU,727095,20091218,110,shot,2000
bPcNMhnmVNE,726493,20110730,125,,2010
g4n-XYtnERA,723022,20110220,78,,2010
YqbWLqd5Exs,722923,20100202,20,,2010
t3P-zi9uRyY,722907,20110103,164,,2010
U7_KBgnhCoU,721113,20030328,420,,2000
RDcCjR_bzrU,720820,20140114,33,shot,2010
bwYikORm7I8,717601,20160227,205,,2010
TKKF1Goi0FU,715311,20160528,84,,2010
Pikd-9qqQ1c,711438,20071027,413,,2000
G7GT6lWdQOA,708640,20140309,298,pass|shot,2010
-YyUXd3Lb0I,706071,20130310,56,dunk,2010
70K3vH6ep3U,705397,20170201,35,pass,2010
S3p1CxUnL1A,704551,20130618,72,shot,2010
Jf4gDYcildI,703677,20061216,131,fight,2000
Qh7g7dwAhiI,703479,20151228,348,pass|shot,2010
o7FfJIQPdgM,701852,20130907,84,dunk,2010
dFUju6LCNwA,698536,20160709,300,dunk,2010
WkmzK7zXqpQ,698183,20071220,81,block|fight|shot,2000
VPaZ4zRb5G0,697647,20041119,733,,2000
L03FLet8efg,693709,20160118,377,,2010
jofB4yaYmcQ,693682,20161201,487,,2010
9oqgjkst7p0,690362,20120703,24,fight,2010
LY8N5O3-UNQ,689145,20161211,439,pass|move,2010
gxfjTcSLUc8,686845,19961203,862,,1990
nZGf7JkwLq0,686628,20090227,68,shot,2000
d38s-XKDNU8,686568,20090104,203,,2000
sI8q7SpDTww,686231,20091031,31,,2000
-rTDzu9DS_k,681625,20091213,21,,2000
ie9tKtJ9kbA,674971,20160206,509,,2010
TJrgpJUWRmU,674000,20160509,435,,2010
DxqbyWsz7ps,673917,20110209,118,shot,2010
m1Y3GKOM2dc,673163,20151027,300,,2010
K4U3CNELoGw,671164,20120403,60,fight|shot,2010
ss9aW0Y84xU,670112,20170116,75,pass,2010
CeZgBI2Z4Yg,668337,20071031,826,shot|dunk,2000
o5Cf2zKspf0,668200,20101105,34,move|pass,2010
EG8wqXqBNMY,665480,20150710,41,,2010
K3u-LAq-siU,665126,20011030,492,pass,2000
FIcVUzMwkWk,659171,20120223,247,fight,2010
tk3iNeMOInQ,654167,20170303,231,shot,2010
XYL5gkvLVeE,649721,20170103,82,pass|shot,2010
5E4qtV2X_9A,649506,20100118,442,pass,2010
riojqRjkkMo,648488,20150225,284,,2010
EiVy-MTfhac,648440,20100131,10,,2010
TSUoQw0pKew,647998,20051220,248,pass,2000
BnUtEFUBcoU,644308,20061025,29,move|shot,2000
3VVFhkcYBl0,644182,20101111,76,fight,2010
daXwJ3KRgbI,638828,20120204,78,,2010
-TH3CPSD6-Q,638174,19990228,326,move,1990
Qrj8UCnKTpM,637394,20160209,415,,2010
m_SQop5DWw8,632619,20130313,160,move,2010
uKxxL1HBrIw,631220,20020212,845,,2000
Ui2BBip8sxo,630169,20160319,95,block|shot,2010
PBX8CcMpqV0,629499,19931218,354,fight,1990
ulWkxsR2d9o,626463,20070223,335,shot|pass|dunk|move,2000
76TxrkVc2W8,626321,20130620,873,,2010
PKggO62YPs4,624947,20090209,34,block|dunk|shot,2000
4_SkbN8NWq0,624653,20130510,143,,2010
b3dP0IDWlZc,620759,20130131,60,dunk|injury,2010
6V9oMhS67xs,619589,20120215,727,pass,2010
L9Z_klP1v-o,619496,20130220,24,dunk,2010
9g0RHgfuugs,618842,20091204,174,shot,2000
wmIOEw_3yOI,618020,20061216,475,fight,2000
0DiQsCI25AI,613324,20101208,29,pass|shot,2010
-VJ8mSQe-4k,611633,20120318,109,shot|pass|block,2010
WE6RqyHokzw,611097,20080512,83,,2000
VU7RiLERJ-Y,610654,20110318,174,fight,2010
3g2z1dLzTcM,609976,19890507,355,shot,1980
h0Jmx-L1hsI,607934,20140801,44,injury|move,2010
Vjv2EEg2-gc,607683,19970103,43,,1990
MqHpzfI87_I,606552,20051209,2717,,2000
g4VUcppjeP0,605589,20131007,645,,2010
UHh9YGCc6nk,604336,20141225,131,,2010
NPp520vX68w,604007,20120206,539,,2010
b2sOjr5-Taw,603159,20091112,56,dunk,2000
2HRfPlWIuCw,601717,20051119,976,pass,2000
TW9JuvAITEA,600381,20110130,16,dunk|pass,2010
6FP0ua5xFw4,598198,20080105,34,dunk,2000
cCAFdBWuNhw,598061,20121031,508,shot|pass|dunk|injury,2010
xyFNoT2hDPQ,595756,20130411,30,,2010
7r1QsZUBYtc,595103,20130124,274,,2010
QESAl00DpFA,592903,20170217,37,pass,2010
5VGO9vUfUUQ,592832,20151028,29,,2010
C2PYF7MxjhU,591294,20130603,43,,2010
Fih8bYt7pFU,587918,20090331,79,,2000
QXhrCm6zdr4,587902,20151209,193,,2010
n1LeVCwyHas,586910,19950319,379,pass,1990
jGX_HXlTV-Q,585143,19980118,630,fight|shot|block|injury,1990
mo18RBms76k,583394,20041225,928,shot|block,2000
cGwzcuKDzJE,582319,20120211,15,,2010
